Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 1.298170	Val Loss: 1.340611	Val Acc: 50.9375
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.246301	Val Loss: 1.249096	Val Acc: 55.46875
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.206922	Val Loss: 1.248774	Val Acc: 55.625
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 1.295367	Val Loss: 1.293404	Val Acc: 55.46875
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 1.332718	Val Loss: 1.290832	Val Acc: 53.28125
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.202740	Val Loss: 1.263663	Val Acc: 55.46875
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.401378	Val Loss: 1.245674	Val Acc: 55.78125
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.216418	Val Loss: 1.269069	Val Acc: 55.0
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.230937	Val Loss: 1.237183	Val Acc: 55.625
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.254174	Val Loss: 1.217434	Val Acc: 54.84375
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.135287	Val Loss: 1.190884	Val Acc: 58.28125
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.015064	Val Loss: 1.240241	Val Acc: 55.9375
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 1.032642	Val Loss: 1.249030	Val Acc: 55.0
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 1.073539	Val Loss: 1.231067	Val Acc: 57.96875
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.141165	Val Loss: 1.207554	Val Acc: 56.25
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 1.232784	Val Loss: 1.194456	Val Acc: 58.75
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 1.126991	Val Loss: 1.175977	Val Acc: 57.5
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 1.145262	Val Loss: 1.112694	Val Acc: 60.3125
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 1.230474	Val Loss: 1.244756	Val Acc: 56.40625
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 1.149373	Val Loss: 1.221345	Val Acc: 55.9375
